detector eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
TPC 0.4316947267462241 6 0.00047117 3.4151e-06 0.000264578 2.15653e-06 0.0113173 8.4745e-05 0.0113192 8.43897e-05
TPC 0.4316947267462241 7 0.000429765 3.2124e-06 0.00021905 1.80356e-06 0.0124171 9.52441e-05 0.0124269 9.48551e-05
TPC 0.4316947267462241 8 0.000415973 3.11497e-06 0.000191371 1.58546e-06 0.0138988 0.000104116 0.0139047 0.000103937
TPC 0.4316947267462241 9 0.000404734 3.09083e-06 0.000164471 1.35904e-06 0.015152 0.000109388 0.015257 0.000112254
TPC 0.4316947267462241 10 0.000392171 2.93748e-06 0.000147498 1.20283e-06 0.0165542 0.000121362 0.0165646 0.000121149
TPC 0.4316947267462241 20 0.000355288 2.69832e-06 7.30365e-05 5.97966e-07 0.0309493 0.000232079 0.0309271 0.000232078
TPC 0.4316947267462241 30 0.00034894 2.70429e-06 4.8968e-05 4.03543e-07 0.0451534 0.000353509 0.0451373 0.000353071
TPC 0.4316947267462241 40 0.000346967 2.58326e-06 3.90675e-05 3.0332e-07 0.0600433 0.000479071 0.0600356 0.000479237
TPC 0.4316947267462241 50 0.000345946 2.53746e-06 3.4077e-05 2.75007e-07 0.0732585 0.000583611 0.0732668 0.000583477
TPC 0.017454178683585186 1 0.00194671 1.62108e-05 0.00200991 1.68441e-05 0.00428703 3.39624e-05 0.00428316 3.32006e-05
TPC 0.017454178683585186 2 0.000991032 7.70375e-06 0.000968266 7.7374e-06 0.00594604 4.77856e-05 0.00594257 4.788e-05
TPC 0.017454178683585186 3 0.000700867 5.59389e-06 0.000605375 5.20374e-06 0.00728368 5.68932e-05 0.00728123 5.68791e-05
TPC 0.017454178683585186 4 0.000568045 4.24746e-06 0.000427819 3.53457e-06 0.00865001 6.62437e-05 0.00865462 6.62746e-05
TPC 0.017454178683585186 5 0.000497905 3.79893e-06 0.000332039 2.7224e-06 0.00987099 7.62644e-05 0.0098705 7.62657e-05
TPC 0.017454178683585186 6 0.000459416 3.4685e-06 0.000266499 2.18713e-06 0.0110525 8.16855e-05 0.0110508 8.16823e-05
TPC 0.017454178683585186 7 0.000429916 3.16716e-06 0.000220495 1.80299e-06 0.012293 9.42066e-05 0.0122917 9.41901e-05
TPC 0.017454178683585186 8 0.000403039 2.99947e-06 0.000193058 1.61455e-06 0.0137512 0.000106865 0.0137515 0.000106837
TPC 0.017454178683585186 9 0.000393698 2.77178e-06 0.000168653 1.38098e-06 0.0151017 0.000110637 0.0151007 0.000110629
TPC 0.017454178683585186 10 0.000383632 2.91889e-06 0.000151328 1.27879e-06 0.0163387 0.000121319 0.0163393 0.000121291
TPC 0.017454178683585186 20 0.000354033 2.70561e-06 7.44024e-05 6.11691e-07 0.0308247 0.000242013 0.030827 0.000242083
TPC 0.017454178683585186 30 0.000351049 2.54801e-06 5.14144e-05 4.13489e-07 0.0455095 0.000343531 0.0455101 0.000343535
TPC 0.017454178683585186 40 0.000344842 2.47654e-06 4.08454e-05 3.1833e-07 0.0601925 0.000476668 0.0601927 0.000476646
TPC 0.017454178683585186 50 0.00034247 2.59442e-06 3.49809e-05 2.76836e-07 0.0715609 0.000563164 0.0715614 0.000563166
