detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_i0o4_2D 1 0.4316947267462241 1 0.00185424 1.53355e-05 0.00175013 1.46542e-05 0.00553209 4.96423e-05 0.00544269 4.82454e-05
MM_i0o4_2D 1 0.4316947267462241 2 0.0010129 8.65575e-06 0.000814116 6.93859e-06 0.00692307 5.7606e-05 0.00690259 5.66116e-05
MM_i0o4_2D 1 0.4316947267462241 3 0.000757805 6.02666e-06 0.000522032 4.74792e-06 0.00846863 6.68178e-05 0.00844592 6.66453e-05
MM_i0o4_2D 1 0.4316947267462241 4 0.000652769 5.22035e-06 0.000378548 3.17916e-06 0.0102854 8.25118e-05 0.0102843 8.28025e-05
MM_i0o4_2D 1 0.4316947267462241 5 0.00058186 4.82854e-06 0.000301992 2.57402e-06 0.0117735 9.55082e-05 0.0117884 9.58265e-05
MM_i0o4_2D 1 0.4316947267462241 6 0.000536016 4.13321e-06 0.000251237 2.12644e-06 0.0137239 0.000104297 0.0137815 0.00010708
MM_i0o4_2D 1 0.4316947267462241 7 0.000514662 4.21962e-06 0.000209602 1.81691e-06 0.0155768 0.000125871 0.0156036 0.000126559
MM_i0o4_2D 1 0.4316947267462241 8 0.000497122 3.92442e-06 0.000183106 1.54256e-06 0.017823 0.000137023 0.0178298 0.000137484
MM_i0o4_2D 1 0.4316947267462241 9 0.000487686 3.81102e-06 0.000161799 1.39283e-06 0.019839 0.000156955 0.0198396 0.000157039
MM_i0o4_2D 1 0.4316947267462241 10 0.000482516 3.82385e-06 0.000144931 1.25471e-06 0.0217351 0.000174332 0.0217403 0.00017511
MM_i0o4_2D 1 0.017454178683585186 1 0.00173857 1.43685e-05 0.00180517 1.54531e-05 0.00512583 4.44086e-05 0.00512049 4.4521e-05
MM_i0o4_2D 1 0.017454178683585186 2 0.000979853 8.09816e-06 0.000835857 6.90789e-06 0.00660826 5.51707e-05 0.00660885 5.52536e-05
MM_i0o4_2D 1 0.017454178683585186 3 0.000753426 5.95949e-06 0.000540717 4.62406e-06 0.00840053 6.53177e-05 0.00839646 6.52659e-05
MM_i0o4_2D 1 0.017454178683585186 4 0.000636401 4.97011e-06 0.00039568 3.41162e-06 0.0102091 8.2334e-05 0.0102101 8.23442e-05
MM_i0o4_2D 1 0.017454178683585186 5 0.000566566 4.50985e-06 0.000310209 2.66901e-06 0.0117146 9.35745e-05 0.0117133 9.36304e-05
MM_i0o4_2D 1 0.017454178683585186 6 0.000536609 4.11689e-06 0.000254563 2.20509e-06 0.0135873 0.000109306 0.0135901 0.000109307
MM_i0o4_2D 1 0.017454178683585186 7 0.000509263 4.0114e-06 0.000219312 1.87202e-06 0.015752 0.000125374 0.0157513 0.000125398
MM_i0o4_2D 1 0.017454178683585186 8 0.000494551 3.86762e-06 0.00018992 1.59887e-06 0.0175613 0.000137179 0.0175653 0.000137356
MM_i0o4_2D 1 0.017454178683585186 9 0.000480464 3.79836e-06 0.000171416 1.45494e-06 0.0195721 0.00015494 0.0195718 0.000154961
MM_i0o4_2D 1 0.017454178683585186 10 0.000479235 3.77844e-06 0.000151197 1.24769e-06 0.0216685 0.000173857 0.0216671 0.000173874
MM_m2o4_2D 1 0.9316316147538235 1 0.00200139 1.64172e-05 0.00181238 1.58183e-05 0.00737193 6.13052e-05 0.00704611 5.86252e-05
MM_m2o4_2D 1 0.9316316147538235 2 0.0011119 8.77784e-06 0.000902572 7.58212e-06 0.00820622 6.76104e-05 0.00812647 6.5749e-05
MM_m2o4_2D 1 0.9316316147538235 3 0.00082672 6.6903e-06 0.000590229 5.08532e-06 0.00950956 7.61524e-05 0.00947737 7.52787e-05
MM_m2o4_2D 1 0.9316316147538235 4 0.000690178 5.50577e-06 0.000434289 3.53797e-06 0.0110652 8.61745e-05 0.011051 8.6604e-05
MM_m2o4_2D 1 0.9316316147538235 5 0.000605073 4.89675e-06 0.000336172 3.00116e-06 0.0123543 9.7673e-05 0.0123341 9.79742e-05
MM_m2o4_2D 1 0.9316316147538235 6 0.000559597 4.45861e-06 0.000272763 2.18912e-06 0.0140009 0.000112146 0.013968 0.000111341
MM_m2o4_2D 1 0.9316316147538235 7 0.000525684 4.11579e-06 0.000226569 1.89019e-06 0.0157778 0.000120549 0.0157582 0.000119612
MM_m2o4_2D 1 0.9316316147538235 8 0.000497257 3.88643e-06 0.000196442 1.69539e-06 0.0171293 0.000131136 0.0171345 0.000132138
MM_m2o4_2D 1 0.9316316147538235 9 0.000488167 3.84973e-06 0.000173427 1.47572e-06 0.0193668 0.000152002 0.0193624 0.000151953
MM_m2o4_2D 1 0.9316316147538235 10 0.00046962 3.85062e-06 0.000156783 1.29981e-06 0.0209267 0.000165703 0.0209172 0.000165375
MM_m2o4_2D 1 0.4316947267462241 1 0.00171607 1.46569e-05 0.0019889 1.6312e-05 0.00592157 5.05718e-05 0.00586464 5.01711e-05
MM_m2o4_2D 1 0.4316947267462241 2 0.000959688 8.11546e-06 0.000957367 7.82131e-06 0.00699379 5.75409e-05 0.00698621 5.71986e-05
MM_m2o4_2D 1 0.4316947267462241 3 0.000725989 5.82193e-06 0.000627007 5.1393e-06 0.00846747 6.71604e-05 0.00847918 6.79987e-05
MM_m2o4_2D 1 0.4316947267462241 4 0.000623033 4.97027e-06 0.000452734 3.84697e-06 0.00986761 7.67155e-05 0.00987013 7.69479e-05
MM_m2o4_2D 1 0.4316947267462241 5 0.00056336 4.48083e-06 0.000357958 3.1286e-06 0.0117302 9.43032e-05 0.01174 9.4078e-05
MM_m2o4_2D 1 0.4316947267462241 6 0.000524922 3.9313e-06 0.000294247 2.50601e-06 0.0134131 0.000103608 0.0134269 0.000103789
MM_m2o4_2D 1 0.4316947267462241 7 0.000504961 3.96742e-06 0.000248325 2.12412e-06 0.0153233 0.00011696 0.0153186 0.000116637
MM_m2o4_2D 1 0.4316947267462241 8 0.000479311 3.77112e-06 0.000214696 1.83343e-06 0.0168877 0.00013013 0.0168846 0.000130511
MM_m2o4_2D 1 0.4316947267462241 9 0.000470758 3.63165e-06 0.000188744 1.62761e-06 0.0186104 0.000136813 0.0186713 0.000139383
MM_m2o4_2D 1 0.4316947267462241 10 0.000461211 3.56393e-06 0.000170847 1.48962e-06 0.0206369 0.00015501 0.0206177 0.000154591
MM_m2o4_2D 1 0.017454178683585186 1 0.00162684 1.37252e-05 0.00209418 1.75178e-05 0.00562306 4.78671e-05 0.0056201 4.79173e-05
MM_m2o4_2D 1 0.017454178683585186 2 0.000920498 7.57283e-06 0.00101596 8.39674e-06 0.00680613 5.55967e-05 0.00680477 5.56211e-05
MM_m2o4_2D 1 0.017454178683585186 3 0.00072286 5.85031e-06 0.000642413 5.48296e-06 0.00830581 6.79374e-05 0.00830733 6.7863e-05
MM_m2o4_2D 1 0.017454178683585186 4 0.000610541 4.7976e-06 0.000464986 4.0129e-06 0.00983726 8.00809e-05 0.00983736 8.00446e-05
MM_m2o4_2D 1 0.017454178683585186 5 0.000547059 4.33827e-06 0.000366105 3.2255e-06 0.0114846 9.04907e-05 0.0114844 9.04922e-05
MM_m2o4_2D 1 0.017454178683585186 6 0.000519022 3.84981e-06 0.000294856 2.57153e-06 0.0132503 0.000102158 0.0132511 0.000102101
MM_m2o4_2D 1 0.017454178683585186 7 0.000494844 3.89168e-06 0.000249884 2.10978e-06 0.0150524 0.000118345 0.0150541 0.000118363
MM_m2o4_2D 1 0.017454178683585186 8 0.000481142 3.78228e-06 0.000218756 1.90056e-06 0.0169483 0.000133478 0.0169487 0.000133543
MM_m2o4_2D 1 0.017454178683585186 9 0.000465358 3.63348e-06 0.00019606 1.6631e-06 0.0187551 0.000145571 0.018756 0.000145615
MM_m2o4_2D 1 0.017454178683585186 10 0.000456842 3.48655e-06 0.000176544 1.49687e-06 0.0204919 0.000154924 0.0204914 0.000154943
MM_i0o5_2D 1 0.9316316147538235 1 0.00217995 1.8242e-05 0.00170255 1.45144e-05 0.00698198 5.92778e-05 0.00671623 5.73986e-05
MM_i0o5_2D 1 0.9316316147538235 2 0.00121318 9.81433e-06 0.000832629 6.67233e-06 0.00792927 6.59298e-05 0.00783834 6.50965e-05
MM_i0o5_2D 1 0.9316316147538235 3 0.000901847 7.64831e-06 0.000550621 4.6474e-06 0.00950739 7.60919e-05 0.00949015 7.60427e-05
MM_i0o5_2D 1 0.9316316147538235 4 0.000741746 6.16188e-06 0.000404111 3.39939e-06 0.0110918 8.86807e-05 0.0110503 8.86654e-05
MM_i0o5_2D 1 0.9316316147538235 5 0.000643964 5.10756e-06 0.000316415 2.70406e-06 0.0127383 0.000102762 0.0127061 0.000102293
MM_i0o5_2D 1 0.9316316147538235 6 0.00058466 4.65706e-06 0.000254179 2.18556e-06 0.0141909 0.000107199 0.0141968 0.00010743
MM_i0o5_2D 1 0.9316316147538235 7 0.000547038 4.41082e-06 0.000215871 1.87276e-06 0.0161159 0.000126272 0.0161293 0.000128071
MM_i0o5_2D 1 0.9316316147538235 8 0.000526321 4.25814e-06 0.000190266 1.5918e-06 0.0181156 0.000146433 0.0181108 0.000145624
MM_i0o5_2D 1 0.9316316147538235 9 0.000513448 4.084e-06 0.000165211 1.41761e-06 0.0202508 0.000161923 0.0202669 0.000164013
MM_i0o5_2D 1 0.9316316147538235 10 0.000498345 3.90349e-06 0.000146385 1.25194e-06 0.0220156 0.000177465 0.0220142 0.000177735
MM_i0o5_2D 1 0.4316947267462241 1 0.00191669 1.59209e-05 0.00186947 1.57125e-05 0.00546284 4.62204e-05 0.00539314 4.62914e-05
MM_i0o5_2D 1 0.4316947267462241 2 0.0010614 8.55942e-06 0.000895104 7.63966e-06 0.00680618 5.72617e-05 0.00678973 5.66769e-05
MM_i0o5_2D 1 0.4316947267462241 3 0.000788375 6.23788e-06 0.000572707 4.75928e-06 0.00849577 7.20408e-05 0.00846931 7.17078e-05
MM_i0o5_2D 1 0.4316947267462241 4 0.000658573 5.52757e-06 0.000426177 3.47747e-06 0.0101062 8.41768e-05 0.0100915 8.40282e-05
MM_i0o5_2D 1 0.4316947267462241 5 0.000591398 4.6477e-06 0.000334902 2.86248e-06 0.0119506 9.63297e-05 0.011935 9.58746e-05
MM_i0o5_2D 1 0.4316947267462241 6 0.000543897 4.29767e-06 0.000269936 2.30505e-06 0.0135785 0.000110293 0.0135524 0.000109835
MM_i0o5_2D 1 0.4316947267462241 7 0.000521678 4.11517e-06 0.000234482 2.01149e-06 0.0157309 0.000124559 0.0157108 0.00012479
MM_i0o5_2D 1 0.4316947267462241 8 0.000502041 4.10346e-06 0.000204078 1.75289e-06 0.0174234 0.000139503 0.0174092 0.000139401
MM_i0o5_2D 1 0.4316947267462241 9 0.000489878 3.9396e-06 0.000177366 1.50041e-06 0.0198024 0.000164027 0.0198044 0.000164152
MM_i0o5_2D 1 0.4316947267462241 10 0.000482618 3.78698e-06 0.000162066 1.36277e-06 0.0217352 0.000176293 0.021712 0.000175877
MM_i0o5_2D 1 0.017454178683585186 1 0.0018396 1.53682e-05 0.00197536 1.69385e-05 0.0051485 4.3283e-05 0.00514535 4.31438e-05
MM_i0o5_2D 1 0.017454178683585186 2 0.00103803 8.56784e-06 0.000920732 7.68186e-06 0.00678234 5.59691e-05 0.00678346 5.60173e-05
MM_i0o5_2D 1 0.017454178683585186 3 0.000768918 6.21845e-06 0.00060317 5.18234e-06 0.00839632 6.84139e-05 0.00839871 6.85591e-05
MM_i0o5_2D 1 0.017454178683585186 4 0.000645612 5.29281e-06 0.000442198 3.87103e-06 0.00987894 8.08624e-05 0.00988101 8.09647e-05
MM_i0o5_2D 1 0.017454178683585186 5 0.000577305 4.6498e-06 0.000344879 2.93812e-06 0.0116895 9.13505e-05 0.0116917 9.13488e-05
MM_i0o5_2D 1 0.017454178683585186 6 0.000541426 4.1832e-06 0.000282873 2.50801e-06 0.0136721 0.000106968 0.0136709 0.000106988
MM_i0o5_2D 1 0.017454178683585186 7 0.000514159 4.11161e-06 0.000240532 1.99801e-06 0.0155458 0.000121745 0.0155474 0.000121775
MM_i0o5_2D 1 0.017454178683585186 8 0.000490735 3.86808e-06 0.000210002 1.71904e-06 0.0173404 0.000137892 0.017341 0.000137898
MM_i0o5_2D 1 0.017454178683585186 9 0.000488635 3.99402e-06 0.000188538 1.64405e-06 0.0194335 0.00015254 0.0194377 0.000152685
MM_i0o5_2D 1 0.017454178683585186 10 0.000478556 3.92737e-06 0.000173358 1.46445e-06 0.0216604 0.000178063 0.0216605 0.000178056
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 1 0.00195224 1.62771e-05 0.00184941 1.5703e-05 0.00730896 6.43217e-05 0.00692355 5.93836e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 2 0.00103169 8.49319e-06 0.000933207 8.13463e-06 0.00737114 6.26707e-05 0.00729316 6.1852e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 3 0.000723259 6.0561e-06 0.000613743 5.29699e-06 0.00808274 6.78858e-05 0.00806284 6.78444e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 4 0.000582207 4.90938e-06 0.00044597 3.86151e-06 0.00874337 6.87647e-05 0.00874436 6.87075e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 5 0.000501524 4.11188e-06 0.000354625 3.10225e-06 0.00962756 7.80828e-05 0.00963648 7.73554e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 6 0.000452352 3.67182e-06 0.000291963 2.51268e-06 0.0104883 8.2874e-05 0.0104575 8.19049e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 7 0.000411278 3.17967e-06 0.000244811 2.06494e-06 0.0111995 8.97625e-05 0.0111948 8.91529e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 8 0.000381519 2.91169e-06 0.000210432 1.80729e-06 0.0124253 9.79629e-05 0.0124275 9.76359e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 9 0.000358872 2.84978e-06 0.000184855 1.6277e-06 0.0132263 0.00010553 0.0132137 0.000105259
MM_m2o4_2D_mpgd100um_svtx10um 1 0.9316316147538235 10 0.000350049 2.73841e-06 0.000163923 1.38752e-06 0.014542 0.000112358 0.0145616 0.000113046
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 1 0.00172128 1.44807e-05 0.0020485 1.70795e-05 0.0055534 4.81606e-05 0.0054904 4.703e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 2 0.000916613 7.65387e-06 0.00100306 8.33723e-06 0.00605159 5.36001e-05 0.00602492 5.22136e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 3 0.000639239 5.13523e-06 0.000660745 5.62493e-06 0.0069163 5.71478e-05 0.00689196 5.70505e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 4 0.000518498 4.13254e-06 0.000479888 3.96462e-06 0.00770251 6.11403e-05 0.00769823 6.12353e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 5 0.00045131 3.76748e-06 0.000375596 3.20907e-06 0.00865048 6.90386e-05 0.00864476 6.88369e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 6 0.000403678 3.20312e-06 0.000306194 2.60111e-06 0.00933507 7.73817e-05 0.00933639 7.73889e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 7 0.000375708 2.94818e-06 0.000260928 2.19909e-06 0.0104577 8.35055e-05 0.0104633 8.31978e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 8 0.000357123 2.83249e-06 0.000226975 1.93503e-06 0.0114486 9.30618e-05 0.0114638 9.36379e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 9 0.000339122 2.67126e-06 0.000195789 1.67824e-06 0.0126499 9.71995e-05 0.012639 9.67337e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.4316947267462241 10 0.000330366 2.61616e-06 0.000174844 1.48567e-06 0.0138432 0.00010948 0.0138429 0.000109385
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 1 0.0016134 1.3303e-05 0.0021124 1.73932e-05 0.00536046 4.76812e-05 0.00535642 4.74916e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 2 0.000849326 6.85904e-06 0.00103845 8.79789e-06 0.00595552 5.05028e-05 0.00596272 5.055e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 3 0.000606119 4.92038e-06 0.000673286 5.44589e-06 0.00659208 5.55719e-05 0.00659037 5.55012e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 4 0.000505093 4.01683e-06 0.000491709 4.24877e-06 0.00745376 5.89821e-05 0.00745407 5.90614e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 5 0.000435011 3.38162e-06 0.00037809 3.32775e-06 0.00834696 6.5908e-05 0.00834968 6.59164e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 6 0.000395542 3.1014e-06 0.000313918 2.53949e-06 0.0093956 7.54367e-05 0.00939484 7.54467e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 7 0.000371318 2.98012e-06 0.000266783 2.3088e-06 0.010297 8.01104e-05 0.0103007 8.01716e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 8 0.000344992 2.64049e-06 0.000230826 2.03226e-06 0.0113882 9.03444e-05 0.0113872 9.03386e-05
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 9 0.000329118 2.67519e-06 0.000201481 1.74885e-06 0.0123625 0.000101092 0.0123633 0.000101091
MM_m2o4_2D_mpgd100um_svtx10um 1 0.017454178683585186 10 0.000322694 2.57092e-06 0.000180053 1.52965e-06 0.0134088 0.000108845 0.0134091 0.000108978
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 1 0.00180656 1.58531e-05 0.00182742 1.51958e-05 0.00880273 7.51545e-05 0.00853256 7.40919e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 2 0.000950017 7.78648e-06 0.000918505 7.54008e-06 0.00903764 7.52728e-05 0.00899411 7.46059e-05
