detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_2D 1 0.4316947267462241 1 0.00154209 1.27099e-05 0.0020244 1.69491e-05 0.00749016 6.32819e-05 0.00737817 6.09826e-05
MM_6_3x2_2D 2 0.4316947267462241 1 0.00155998 1.29517e-05 0.0020212 1.69067e-05 0.00746053 6.17318e-05 0.00741319 6.16968e-05
MM_6_3x2_2D 3 0.4316947267462241 1 0.00156268 1.31402e-05 0.00201916 1.74533e-05 0.00737802 6.26292e-05 0.00730525 6.35687e-05
MM_6_3x2_2D 5 0.4316947267462241 1 0.00154285 1.27141e-05 0.00198861 1.5848e-05 0.00727626 6.24333e-05 0.00724263 6.11996e-05
MM_6_3x2_2D 1 0.4316947267462241 2 0.000916729 7.36227e-06 0.000963797 8.35341e-06 0.00857342 7.0688e-05 0.00854436 7.00421e-05
MM_6_3x2_2D 2 0.4316947267462241 2 0.000897771 6.97386e-06 0.000972025 8.42105e-06 0.00849623 7.18399e-05 0.00848428 7.12139e-05
MM_6_3x2_2D 3 0.4316947267462241 2 0.000910122 7.07507e-06 0.000978439 8.29392e-06 0.00843586 6.95194e-05 0.00839481 6.91102e-05
MM_6_3x2_2D 5 0.4316947267462241 2 0.000933946 7.76734e-06 0.000975469 8.14153e-06 0.00848678 6.89608e-05 0.00848486 6.88911e-05
MM_6_3x2_2D 1 0.4316947267462241 3 0.000717548 5.45926e-06 0.000621075 5.0662e-06 0.00990295 8.01067e-05 0.00991488 8.0506e-05
MM_6_3x2_2D 2 0.4316947267462241 3 0.000711044 5.69251e-06 0.000620921 5.22583e-06 0.00975449 8.00198e-05 0.00977059 8.05833e-05
MM_6_3x2_2D 3 0.4316947267462241 3 0.000720998 5.8066e-06 0.000637487 5.41695e-06 0.00989696 7.80171e-05 0.00987664 7.77971e-05
MM_6_3x2_2D 5 0.4316947267462241 3 0.000717909 5.68767e-06 0.000630439 5.28996e-06 0.00979854 8.10291e-05 0.00978996 8.08271e-05
MM_6_3x2_2D 1 0.4316947267462241 4 0.000617628 4.8092e-06 0.000446474 3.71781e-06 0.0111365 8.71806e-05 0.0111579 8.77716e-05
MM_6_3x2_2D 2 0.4316947267462241 4 0.000622306 4.8385e-06 0.00044658 3.95397e-06 0.0112412 9.05167e-05 0.0112359 9.03523e-05
MM_6_3x2_2D 3 0.4316947267462241 4 0.000623205 4.93344e-06 0.000445022 3.76002e-06 0.0112292 9.14907e-05 0.011229 9.10417e-05
MM_6_3x2_2D 5 0.4316947267462241 4 0.000628164 4.82901e-06 0.000437681 3.78176e-06 0.011306 9.02008e-05 0.0113113 9.04997e-05
MM_6_3x2_2D 1 0.4316947267462241 5 0.000568065 4.36465e-06 0.000340652 2.85546e-06 0.0126357 9.96721e-05 0.012615 9.96722e-05
MM_6_3x2_2D 2 0.4316947267462241 5 0.000569728 4.3279e-06 0.000337379 2.9064e-06 0.012792 0.000101386 0.0127601 0.000100557
MM_6_3x2_2D 3 0.4316947267462241 5 0.000570341 4.49959e-06 0.000345423 2.9925e-06 0.0125775 0.000100076 0.0125721 0.000100018
MM_6_3x2_2D 5 0.4316947267462241 5 0.000569228 4.45937e-06 0.000343263 2.88218e-06 0.0126637 0.000103104 0.0126335 0.000101346
MM_6_3x2_2D 1 0.4316947267462241 6 0.000543423 4.30352e-06 0.000274815 2.33667e-06 0.0143831 0.000112518 0.0143598 0.000112076
MM_6_3x2_2D 2 0.4316947267462241 6 0.000542356 4.21855e-06 0.00027744 2.38906e-06 0.0142732 0.000108934 0.014266 0.000108946
MM_6_3x2_2D 3 0.4316947267462241 6 0.000541549 4.22639e-06 0.000275097 2.31437e-06 0.0143973 0.00011149 0.0143911 0.000111101
MM_6_3x2_2D 5 0.4316947267462241 6 0.000550532 4.26165e-06 0.000275666 2.34697e-06 0.0146052 0.000111755 0.0146139 0.000112175
MM_6_3x2_2D 1 0.4316947267462241 7 0.000514733 4.01844e-06 0.000228723 1.99047e-06 0.016013 0.000120824 0.0160089 0.0001207
MM_6_3x2_2D 2 0.4316947267462241 7 0.000516379 3.97032e-06 0.000229375 1.92789e-06 0.0161302 0.000125366 0.0161257 0.000126406
MM_6_3x2_2D 3 0.4316947267462241 7 0.000518726 4.0804e-06 0.000228357 1.97013e-06 0.0158674 0.0001239 0.0158547 0.000123851
